CustomerID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Cluster
12471.0,4826,49,2266.87,4,1,1,411,1
12472.0,4854,13,970.12,3,1,1,311,1
12473.0,4853,9,2437.84,3,1,1,311,1
12474.0,4841,30,1331.7,3,1,1,311,1
12475.0,4877,1,105.88,2,4,3,243,2
12476.0,4825,20,1306.93,4,1,1,411,1
12477.0,4846,9,1333.8700000000001,3,1,1,311,1
12478.0,4827,1,163.36,4,4,2,442,0
12479.0,4827,3,91.42999999999999,4,3,3,433,0
12480.0,4852,4,482.7,3,2,1,321,1
12481.0,4846,11,741.44,3,1,1,311,1
12483.0,4841,13,484.21000000000004,3,1,1,311,1
12484.0,4856,8,1114.08,3,1,1,311,1
12488.0,4833,3,205.41,4,3,2,432,0
12489.0,5160,1,88.62,1,4,3,143,2
12490.0,4829,10,659.75,4,1,1,411,1
12491.0,4862,1,87.8,3,4,3,343,0
12492.0,4887,2,66.95,2,3,3,233,2
12493.0,4989,3,111.75,1,3,3,133,2
12494.0,4833,13,351.94,4,1,1,411,1
12497.0,4905,1,28.84,2,4,4,244,2
12498.0,4845,3,96.55,3,3,3,333,0
12500.0,4847,13,381.95,3,1,1,311,1
12501.0,5139,2,387.32,1,3,1,131,2
12502.0,4919,5,944.51,2,2,1,221,1
12503.0,5161,1,1126.0,1,4,1,141,2
12504.0,4842,4,141.7,3,2,2,322,1
12505.0,5125,1,4.5,1,4,4,144,2
12506.0,5056,1,73.5,1,4,3,143,2
12507.0,4958,4,106.37,2,2,3,223,2
12508.0,4850,2,118.71000000000001,3,3,3,333,0
12509.0,5108,1,38.95,1,4,4,144,2
12510.0,4966,2,140.69,2,3,2,232,2
12512.0,4890,2,87.7,2,3,3,233,2
12513.0,4908,2,80.57,2,3,3,233,2
12514.0,5091,1,168.14,1,4,2,142,2
12515.0,5177,1,108.5,1,4,3,143,2
12516.0,4901,2,70.87,2,3,3,233,2
12517.0,4852,6,671.48,3,1,1,311,1
12518.0,4824,5,351.81,4,2,1,421,1
12519.0,4887,1,53.84,2,4,3,243,2
12520.0,4903,6,526.09,2,1,1,211,1
12521.0,4966,1,113.84,2,4,3,243,2
12522.0,4863,2,60.010000000000005,3,3,3,333,0
12523.0,4825,13,567.36,4,1,1,411,1
12524.0,4833,8,420.06,4,1,1,411,1
12526.0,4824,3,238.12,4,3,2,432,0
12527.0,4905,3,52.730000000000004,2,3,4,234,2
12528.0,4833,8,512.34,4,1,1,411,1
12530.0,4883,5,264.47,2,2,2,222,1
12531.0,4838,1,64.76,4,4,3,443,0
12532.0,4854,1,59.17,3,4,3,343,0
12534.0,4954,1,191.23,2,4,2,242,2
12535.0,4915,2,151.35,2,3,2,232,2
12536.0,4831,5,13255.220000000001,4,2,1,421,1
12538.0,4853,1,76.51,3,4,3,343,0
12539.0,4846,5,2856.04,3,2,1,321,1
12540.0,4843,19,1875.34,3,1,1,311,1
12541.0,4853,3,188.02,3,3,2,332,0
12544.0,4853,2,82.27000000000001,3,3,3,333,0
12545.0,4899,2,201.19,2,3,2,232,2
12546.0,4870,3,222.0,3,3,2,332,0
12547.0,5021,2,63.6,1,3,3,133,2
12548.0,4990,1,33.6,1,4,4,144,2
12550.0,4903,1,176.15,2,4,2,242,2
12551.0,5181,1,16.8,1,4,4,144,2
12552.0,4862,2,182.31,3,3,2,332,0
12553.0,4832,14,617.78,4,1,1,411,1
12556.0,4874,2,322.14,3,3,1,331,1
12557.0,4840,5,71.83,4,2,3,423,0
12558.0,4825,2,27.5,4,3,4,434,0
12559.0,5134,3,87.28,1,3,3,133,2
12560.0,4829,4,315.8,4,2,1,421,1
12561.0,5126,1,47.43,1,4,4,144,2
12562.0,4832,7,535.62,4,1,1,411,1
12564.0,5085,1,117.1,1,4,3,143,2
12565.0,5105,2,24.11,1,3,4,134,2
12566.0,4896,2,79.12,2,3,3,233,2
12567.0,4846,11,1557.35,3,1,1,311,1
12569.0,4826,35,1061.65,4,1,1,411,1
12571.0,4863,2,44.9,3,3,4,334,0
12572.0,4832,3,269.37,4,3,2,432,0
12573.0,5051,1,58.7,1,4,3,143,2
12574.0,5139,1,57.2,1,4,3,143,2
12576.0,4859,6,214.55,3,1,2,312,1
12577.0,4859,4,274.27,3,2,2,322,1
12578.0,4845,4,373.0,3,2,1,321,1
12579.0,4897,3,116.77,2,3,3,233,2
12580.0,5070,1,62.58,1,4,3,143,2
12581.0,4863,1,43.39,3,4,4,344,0
12582.0,5062,2,115.1,1,3,3,133,2
12583.0,4826,18,791.28,4,1,1,411,1
12584.0,4827,18,938.1,4,1,1,411,1
12585.0,5058,4,339.25,1,2,1,121,1
12586.0,4841,2,54.6,3,3,3,333,0
12587.0,4831,1,46.24,4,4,4,444,0
12588.0,4863,1,95.8,3,4,3,343,0
12589.0,4852,2,157.6,3,3,2,332,0
12590.0,5014,3,718.6600000000001,1,3,1,131,2
12591.0,5141,1,98.3,1,4,3,143,2
12592.0,4916,2,59.599999999999994,2,3,3,233,2
12593.0,4932,3,55.7,2,3,3,233,2
12594.0,4861,11,374.73,3,1,1,311,1
12596.0,4875,2,118.95,2,3,3,233,2
12597.0,4843,5,852.51,3,2,1,321,1
12598.0,4833,9,376.07,4,1,1,411,1
12599.0,4853,7,185.77,3,1,2,312,1
12600.0,4852,11,368.32,3,1,1,311,1
12601.0,5013,6,189.81,1,1,2,112,1
12602.0,4882,1,23.65,2,4,4,244,2
12603.0,4845,1,28.95,3,4,4,344,0
12604.0,4903,2,41.46,2,3,4,234,2
12605.0,5189,1,5.4,1,4,4,144,2
12607.0,4882,2,435.86,2,3,1,231,1
12609.0,4902,3,211.07,2,3,2,232,2
12610.0,4846,7,545.77,3,1,1,311,1
12611.0,4876,1,173.88,2,4,2,242,2
12612.0,4881,2,94.24000000000001,2,3,3,233,2
12613.0,4855,6,477.71,3,1,1,311,1
12614.0,5101,1,112.2,1,4,3,143,2
12615.0,4826,4,324.41,4,2,1,421,1
12616.0,4909,5,145.95,2,2,2,222,1
12617.0,4853,1,79.92999999999999,3,4,3,343,0
12618.0,4845,1,73.02000000000001,3,4,3,343,0
12619.0,4840,13,1030.57,4,1,1,411,1
12620.0,4838,3,197.6,4,3,2,432,0
12621.0,4825,23,1373.65,4,1,1,411,1
12622.0,5056,1,63.13,1,4,3,143,2
12623.0,5100,1,47.32,1,4,4,144,2
12624.0,4930,2,147.14,2,3,2,232,2
12625.0,5035,3,210.64,1,3,2,132,2
12626.0,4847,13,872.0,3,1,1,311,1
12627.0,4834,7,675.72,4,1,1,411,1
12628.0,4828,4,158.14,4,2,2,422,1
12630.0,4833,2,287.13,4,3,2,432,0
12631.0,4881,1,140.65,2,4,2,242,2
12633.0,4882,5,327.28000000000003,2,2,1,221,1
12635.0,4913,2,254.73,2,3,2,232,2
12637.0,4891,10,1060.19,2,1,1,211,1
12638.0,4857,1,99.84,3,4,3,343,0
12639.0,5062,1,108.19999999999999,1,4,3,143,2
12640.0,4847,3,303.0,3,3,1,331,1
12641.0,4939,1,69.64999999999999,2,4,3,243,2
12642.0,4849,3,168.76,3,3,2,332,0
12643.0,4952,6,124.50999999999999,2,1,3,213,1
12644.0,4953,1,86.94,2,4,3,243,2
12645.0,4857,5,192.26,3,2,2,322,1
12646.0,4828,2,107.42,4,3,3,433,0
12647.0,4846,13,696.66,3,1,1,311,1
12648.0,4978,1,66.62,1,4,3,143,2
12649.0,4931,4,86.91,2,2,3,223,2
12650.0,4827,1,38.69,4,4,4,444,0
12651.0,5158,1,20.200000000000003,1,4,4,144,2
12652.0,5146,2,144.52,1,3,2,132,2
12653.0,4972,2,111.41,1,3,3,133,2
12654.0,4834,5,167.98,4,2,2,422,1
12656.0,4841,8,582.23,3,1,1,311,1
12657.0,4835,5,284.53,4,2,2,422,1
12658.0,4842,1,148.12,3,4,2,342,0
12659.0,4853,1,26.54,3,4,4,344,0
12660.0,4835,1,50.25,4,4,4,444,0
12662.0,4824,12,741.49,4,1,1,411,1
12664.0,4832,10,428.14,4,1,1,411,1
12665.0,5148,2,21.75,1,3,4,134,2
12666.0,5183,1,8.06,1,4,4,144,2
12667.0,4882,1,119.6,2,4,3,243,2
12668.0,4831,6,571.84,4,1,1,411,1
12669.0,4974,4,2524.18,1,2,1,121,1
12670.0,4834,6,301.0,4,1,2,412,1
12672.0,5153,1,37.9,1,4,4,144,2
12673.0,4829,2,122.99000000000001,4,3,3,433,0
12674.0,4835,7,290.68,4,1,2,412,1
12676.0,4848,6,316.27,3,1,1,311,1
12678.0,4866,13,1084.8700000000001,3,1,1,311,1
12679.0,4876,9,215.13,2,1,2,212,1
12680.0,4824,4,189.17,4,2,2,422,1
12681.0,4838,27,2061.71,4,1,1,411,1
12682.0,4827,31,1968.83,4,1,1,411,1
12683.0,4828,20,1018.24,4,1,1,411,1
12684.0,4831,7,266.28,4,1,2,412,1
12685.0,4852,6,482.15,3,1,1,311,1
12686.0,5195,1,22.81,1,4,4,144,2
12688.0,4937,1,705.33,2,4,1,241,2
12689.0,4849,2,205.34,3,3,2,332,0
12690.0,5029,1,88.42999999999999,1,4,3,143,2
12691.0,4852,6,161.15,3,1,2,312,1
12693.0,4944,6,225.87,2,1,2,212,1
12694.0,4894,2,144.36,2,3,2,232,2
12695.0,4831,4,129.21,4,2,3,423,0
12697.0,4845,5,210.67,3,2,2,322,1
12700.0,4831,6,738.13,4,1,1,411,1
12701.0,4903,2,163.81,2,3,2,232,2
12702.0,4843,1,65.3,3,4,3,343,0
12703.0,4887,2,58.35,2,3,3,233,2
12704.0,4831,10,645.7,4,1,1,411,1
12705.0,4839,14,984.25,4,1,1,411,1
12707.0,5115,1,106.81,1,4,3,143,2
12708.0,4853,16,724.47,3,1,1,311,1
12709.0,4827,26,966.07,4,1,1,411,1
12710.0,4920,4,227.77,2,2,2,222,1
12712.0,4846,17,939.13,3,1,1,311,1
12713.0,4824,1,95.13,4,4,3,443,0
12714.0,4833,5,619.5,4,2,1,421,1
12715.0,4930,1,71.44,2,4,3,243,2
12716.0,4827,2,183.94,4,3,2,432,0
12717.0,4975,3,306.85,1,3,1,131,2
12718.0,4895,1,51.72,2,4,4,244,2
12719.0,4829,3,149.5,4,3,2,432,0
12720.0,4826,29,987.0600000000001,4,1,1,411,1
12721.0,4855,7,509.48,3,1,1,311,1
12722.0,4909,6,251.27,2,1,2,212,1
12723.0,4827,5,220.96,4,2,2,422,1
12724.0,4829,4,197.22,4,2,2,422,1
12725.0,5195,1,98.5,1,4,3,143,2
12726.0,4852,7,261.23,3,1,2,312,1
12727.0,4834,9,466.43,4,1,1,411,1
12728.0,4895,4,214.79,2,2,2,222,1
12729.0,4937,1,96.24000000000001,2,4,3,243,2
12731.0,4847,14,930.75,3,1,1,311,1
12732.0,5003,1,42.27,1,4,4,144,2
12733.0,5058,1,74.2,1,4,3,143,2
12734.0,5176,1,4.74,1,4,4,144,2
12735.0,5139,2,232.89999999999998,1,3,2,132,2
12736.0,5156,1,22.32,1,4,4,144,2
12738.0,5196,1,43.45,1,4,4,144,2
12739.0,4902,2,152.32,2,3,2,232,2
12740.0,4887,1,56.0,2,4,3,243,2
12743.0,4958,2,407.17,2,3,1,231,1
12744.0,4875,10,25108.89,2,1,1,211,1
12747.0,4826,11,449.89,4,1,1,411,1
12748.0,4824,224,15115.6,4,1,1,411,1
12749.0,4827,8,1171.5,4,1,1,411,1
12750.0,4952,1,69.3,2,4,3,243,2
12752.0,4905,1,121.59,2,4,3,243,2
12753.0,4827,11,536.39,4,1,1,411,1
12754.0,5059,5,132.5,1,2,2,122,2
12755.0,5073,4,40.199999999999996,1,2,4,124,2
12756.0,4910,1,2.9699999999999998,2,4,4,244,2
12757.0,4839,19,8035.24,4,1,1,411,1
12758.0,4940,2,164.96,2,3,2,232,2
12759.0,4876,3,305.47,2,3,1,231,1
12762.0,4831,2,188.79,4,3,2,432,0
12763.0,4962,2,31.89,2,3,4,234,2
12764.0,5140,1,242.44,1,4,2,142,2
12766.0,4827,7,951.95,4,1,1,411,1
12769.0,5062,1,142.6,1,4,2,142,2
12770.0,5034,1,31.5,1,4,4,144,2
12772.0,4883,1,203.54,2,4,2,242,2
12775.0,4841,6,257.57,3,1,2,312,1
12778.0,4843,7,193.47,3,1,2,312,1
12779.0,4845,12,586.61,3,1,1,311,1
12781.0,4845,5,88.15,3,2,3,323,0
12782.0,4828,6,405.36,4,1,1,411,1
12783.0,4826,8,1649.24,4,1,1,411,1
12784.0,4833,2,165.29,4,3,2,432,0
12785.0,4826,2,69.67999999999999,4,3,3,433,0
12787.0,4833,3,79.96000000000001,4,3,3,433,0
12789.0,4889,1,91.85,2,4,3,243,2
12790.0,5016,1,82.92,1,4,3,143,2
12791.0,5197,1,16.85,1,4,4,144,2
12792.0,5080,1,87.74,1,4,3,143,2
12793.0,5158,2,93.84,1,3,3,133,2
12794.0,4877,2,93.47,2,3,3,233,2
12795.0,4842,1,107.73,3,4,3,343,0
12797.0,5184,3,75.57,1,3,3,133,2
12798.0,4834,3,8.379999999999999,4,3,4,434,0
12802.0,5007,2,64.25,1,3,3,133,2
12808.0,4860,3,113.29,3,3,3,333,0
12809.0,4992,2,115.18,1,3,3,133,2
12811.0,5084,3,127.8,1,3,3,133,2
12812.0,4868,1,31.03,3,4,4,344,0
12814.0,4925,1,41.79,2,4,4,244,2
12815.0,4971,2,253.87,1,3,2,132,2
12816.0,4919,2,256.15,2,3,2,232,2
12817.0,5105,1,48.29,1,4,4,144,2
12818.0,5002,2,101.77,1,3,3,133,2
12820.0,4827,4,112.38,4,2,3,423,0
12821.0,5038,1,14.99,1,4,4,144,2
12822.0,4894,3,138.81,2,3,2,232,2
12823.0,4898,5,38.25,2,2,4,224,2
12824.0,4883,1,63.39,2,4,3,243,2
12826.0,4826,8,180.37,4,1,2,412,1
12827.0,4829,3,71.7,4,3,3,433,0
12828.0,4826,6,173.04,4,1,2,412,1
12829.0,5146,3,154.0,1,3,2,132,2
12830.0,4861,7,107.52,3,1,3,313,1
12831.0,5086,1,27.6,1,4,4,144,2
12832.0,4856,2,79.08,3,3,3,333,0
12833.0,4969,1,130.59,1,4,2,142,2
12834.0,5106,1,88.09,1,4,3,143,2
12836.0,4883,4,750.37,2,2,1,221,1
12837.0,4997,1,80.95,1,4,3,143,2
12838.0,4857,2,285.33,3,3,2,332,0
12839.0,4826,16,609.1,4,1,1,411,1
12840.0,4967,6,237.56,2,1,2,212,1
12841.0,4828,26,1045.72,4,1,1,411,1
12842.0,4894,2,147.23000000000002,2,3,2,232,2
12843.0,4889,9,368.41,2,1,1,211,1
12844.0,4853,2,136.82,3,3,2,332,0
12845.0,5091,4,75.34,1,2,3,123,2
12847.0,4846,1,121.87,3,4,3,343,0
12849.0,4855,2,147.62,3,3,2,332,0
12851.0,4920,1,97.33,2,4,3,243,2
12852.0,5114,2,70.9,1,3,3,133,2
12853.0,4931,9,357.54,2,1,1,211,1
12854.0,4902,5,340.56,2,2,1,221,1
12855.0,5196,1,4.65,1,4,4,144,2
12856.0,4831,8,815.88,4,1,1,411,1
12857.0,5034,2,190.55,1,3,2,132,2
12863.0,4876,2,25.37,2,3,4,234,2
12864.0,4962,1,1.97,2,4,4,244,2
12865.0,4850,3,296.74,3,3,2,332,0
12866.0,5107,1,114.81,1,4,3,143,2
12867.0,4850,10,738.97,3,1,1,311,1
12868.0,5009,6,279.45,1,1,2,112,1
12870.0,5190,1,14.899999999999999,1,4,4,144,2
12871.0,4908,2,23.22,2,3,4,234,2
12872.0,5150,2,164.71,1,3,2,132,2
12873.0,5106,1,16.15,1,4,4,144,2
12875.0,4967,2,0.34,2,3,4,234,2
12876.0,4881,2,191.63,2,3,2,232,2
12877.0,4827,12,292.43,4,1,2,412,1
12878.0,4842,3,98.03,3,3,3,333,0
12879.0,4868,4,24.22,3,2,4,324,0
12881.0,5099,1,230.8,1,4,2,142,2
12882.0,4833,2,83.69,4,3,3,433,0
12883.0,4848,4,248.93,3,2,2,322,1
12884.0,4912,1,111.89,2,4,3,243,2
12885.0,4887,4,272.06,2,2,2,222,1
12886.0,4891,3,322.07,2,3,1,231,1
12888.0,5038,4,41.53,1,2,4,124,2
12890.0,4848,1,148.66,3,4,2,342,0
12891.0,5009,3,1.1,1,3,4,134,2
12893.0,4854,1,75.17,3,4,3,343,0
12895.0,4866,3,79.4,3,3,3,333,0
12897.0,5028,2,10.8,1,3,4,134,2
12901.0,4832,36,189.19,4,1,2,412,1
12902.0,5088,1,56.19,1,4,3,143,2
12904.0,4842,2,222.12,3,3,2,332,0
12906.0,4835,5,160.77,4,2,2,422,1
12908.0,4882,4,2.09,2,2,4,224,2
12909.0,4863,8,642.61,3,1,1,311,1
12910.0,4847,8,156.96,3,1,2,312,1
12912.0,4826,5,65.26,4,2,3,423,0
12913.0,4828,5,146.24,4,2,2,422,1
12915.0,4972,2,149.35,1,3,2,132,2
12916.0,4962,5,450.15,2,2,1,221,1
12917.0,4952,1,9.9,2,4,4,244,2
12919.0,4832,8,144.12,4,1,2,412,1
12920.0,4841,1,107.55,3,4,3,343,0
12921.0,4827,50,1772.04,4,1,1,411,1
12922.0,4985,1,45.58,1,4,4,144,2
12923.0,4888,1,85.16,2,4,3,243,2
12924.0,4912,5,99.4,2,2,3,223,2
12925.0,4828,2,103.96,4,3,3,433,0
12928.0,4859,5,163.18,3,2,2,322,1
12929.0,4946,2,69.7,2,3,3,233,2
12930.0,4902,4,80.77,2,2,3,223,2
12931.0,4845,20,175.53,3,1,2,312,1
12933.0,4848,4,281.83,3,2,2,322,1
12935.0,4826,8,266.42,4,1,2,412,1
12936.0,4841,5,128.61,3,2,3,323,0
12937.0,4839,4,284.6,4,2,2,422,1
12938.0,4849,1,11.44,3,4,4,344,0
12939.0,4888,8,112.96000000000001,2,1,3,213,1
12940.0,4870,4,411.35,3,2,1,321,1
12942.0,4955,3,310.34000000000003,2,3,1,231,1
12943.0,5125,1,3.75,1,4,4,144,2
12944.0,4859,2,95.66,3,3,3,333,0
12945.0,5112,1,113.85,1,4,3,143,2
12947.0,4967,11,438.96999999999997,2,1,1,211,1
12948.0,4840,8,347.7,4,1,1,411,1
12949.0,4854,10,625.61,3,1,1,311,1
12950.0,4826,3,31.95,4,3,4,434,0
12951.0,4832,8,204.63,4,1,2,412,1
12952.0,4829,5,325.9,4,2,1,421,1
12953.0,4833,1,113.0,4,4,3,443,0
12955.0,4825,14,310.94,4,1,1,411,1
12956.0,5130,1,82.94,1,4,3,143,2
12957.0,4828,12,691.23,4,1,1,411,1
12962.0,4831,2,47.77,4,3,4,434,0
12963.0,4832,9,314.96,4,1,1,411,1
12965.0,4913,1,399.36,2,4,1,241,2
12966.0,4833,1,34.230000000000004,4,4,4,444,0
12967.0,4827,4,189.59,4,2,2,422,1
12968.0,4936,1,16.45,2,4,4,244,2
12970.0,4831,4,306.65,4,2,1,421,1
12971.0,4827,89,714.85,4,1,1,411,1
12974.0,5021,1,61.6,1,4,3,143,2
12976.0,5035,1,33.76,1,4,4,144,2
12977.0,4980,1,38.07,1,4,4,144,2
12980.0,4979,12,396.03000000000003,1,1,1,111,1
12981.0,4853,2,32.47,3,3,4,334,0
12982.0,5063,2,59.28,1,3,3,133,2
12984.0,4842,1,15.4,3,4,4,344,0
12985.0,4824,3,145.84,4,3,2,432,0
12987.0,4897,3,184.8,2,3,2,232,2
12988.0,5116,1,378.14,1,4,1,141,2
12989.0,4827,19,213.11,4,1,2,412,1
12990.0,4855,3,26.65,3,3,4,334,0
12991.0,4847,2,71.51,3,3,3,333,0
12993.0,4847,4,57.72,3,2,3,323,0
12994.0,4828,5,304.81,4,2,1,421,1
12995.0,4901,2,7.99,2,3,4,234,2
12997.0,4846,7,211.21,3,1,2,312,1
12999.0,5020,3,71.38,1,3,3,133,2
13000.0,4930,3,93.39,2,3,3,233,2
13001.0,4828,15,828.49,4,1,1,411,1
13002.0,5142,1,19.75,1,4,4,144,2
13003.0,4929,3,13.5,2,3,4,234,2
13004.0,4835,22,822.5,4,1,1,411,1
13005.0,4997,3,157.9,1,3,2,132,2
13006.0,4880,1,21.18,2,4,4,244,2
13008.0,5147,2,25.13,1,3,4,134,2
13011.0,5196,1,12.65,1,4,4,144,2
13012.0,4833,11,361.4,4,1,1,411,1
13013.0,4825,15,701.75,4,1,1,411,1
13014.0,4826,16,649.72,4,1,1,411,1
13015.0,4877,5,886.26,2,2,1,221,1
13016.0,4897,3,149.14,2,3,2,232,2
13017.0,4831,1,4.25,4,4,4,444,0
13018.0,4840,29,1003.49,4,1,1,411,1
13021.0,4828,12,509.5,4,1,1,411,1
13023.0,4888,2,182.1,2,3,2,232,2
13026.0,4825,8,36.69,4,1,4,414,0
13027.0,4937,6,10.4,2,1,4,214,2
13028.0,4846,3,47.27,3,3,4,334,0
13029.0,4854,3,73.88,3,3,3,333,0
13030.0,4835,2,314.81,4,3,1,431,1
13032.0,4862,3,278.01,3,3,2,332,0
13033.0,5181,1,29.05,1,4,4,144,2
13034.0,4878,2,87.77,2,3,3,233,2
13035.0,4881,3,55.34,2,3,3,233,2
13037.0,4962,3,183.43,2,3,2,232,2
13038.0,4904,3,77.23,2,3,3,233,2
13040.0,4832,2,120.57000000000001,4,3,3,433,0
13043.0,5077,2,88.78999999999999,1,3,3,133,2
13044.0,5115,1,107.54,1,4,3,143,2
13045.0,4923,1,28.27,2,4,4,244,2
13046.0,4854,2,215.0,3,3,2,332,0
13047.0,4855,18,798.3,3,1,1,311,1
13048.0,4838,5,252.93,4,2,2,422,1
13049.0,4888,2,55.07,2,3,3,233,2
13050.0,4833,28,1300.17,4,1,1,411,1
13052.0,5036,1,59.29,1,4,3,143,2
13055.0,4887,4,196.1,2,2,2,222,1
13058.0,4848,3,46.6,3,3,4,334,0
13059.0,5073,1,41.75,1,4,4,144,2
13060.0,5077,1,59.74,1,4,3,143,2
13061.0,4896,1,34.03,2,4,4,244,2
13062.0,5015,1,75.00999999999999,1,4,3,143,2
13064.0,4836,4,245.31,4,2,2,422,1
13065.0,5197,1,73.11,1,4,3,143,2
13066.0,4848,3,172.27,3,3,2,332,0
13067.0,4906,1,57.9,2,4,3,243,2
13068.0,4834,2,3.44,4,3,4,434,0
13069.0,4824,27,809.53,4,1,1,411,1
13070.0,5016,1,18.72,1,4,4,144,2
13072.0,5090,1,23.450000000000003,1,4,4,144,2
13075.0,4953,1,44.87,2,4,4,244,2
13077.0,4824,4,196.65,4,2,2,422,1
13078.0,4824,43,1510.2,4,1,1,411,1
13079.0,4828,5,25.0,4,2,4,424,0
13080.0,5003,1,3.4699999999999998,1,4,4,144,2
13081.0,4825,21,2489.93,4,1,1,411,1
13082.0,4950,10,220.02,2,1,2,212,1
13083.0,4828,2,61.32,4,3,3,433,0
13085.0,4981,3,100.88,1,3,3,133,2
